"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level E Admin (Nat)","67000","77290","Head of Division","2.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Crown Advocate (Lon)","56460","64670","Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Crown Advocate (Nat)","51940","59930","Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Crown Advocate ABP (Lon)","65440","69430","Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Legal Manager 2 (National)","67320","77300","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level A2 Apprentice (Lon)","20120","23520","Administrative Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level A2 PS (Lon)","20120","23520","Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Lon)","26970","30110","Business Services Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Lon)","26970","30110","Business Support Manager","0.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Lon)","26970","30110","Complaints Co-ordinator","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Lon)","26970","30110","Delivery Officer","0.67","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Lon)","26970","30110","Project Support Officer","4.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Lon)","26970","30110","Senior Personal Assistant","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Nat)","25480","28430","Business Services Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Nat)","25480","28430","Business Support Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B1 (Nat)","25480","28430","Complaints Co-ordinator","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Lon)","31560","35020","Case Auditor","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Lon)","31560","35020","Delivery Manager","1.68","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Lon)","31560","35020","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Lon)","31560","35020","Project Support Office Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Lon)","31560","35020","Projects Delivery Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Nat)","30130","33310","Area Performance Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Nat)","30130","33310","Case Auditor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Nat)","30130","33310","Delivery Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Nat)","30130","33310","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 (Nat)","30130","33310","Projects Delivery Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B2 Paralegal BM (Nat)","30130","33310","Delivery Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Complaints Co-ordinator","0.94","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Courts Advisor","2.13","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Delivery Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Head of Fees","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Information Systems Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Private Secretary","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Project Manager","0.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Quality Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Nat)","38180","43390","Delivery Manager","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Nat)","38180","43390","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Nat)","38180","43390","Project Manager","7.69","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level B3 (Nat)","38180","43390","Quality Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Lon)","54760","65050","Change Manager","2.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Lon)","54760","65050","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Nat)","50850","59670","Business Centre Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Nat)","50850","59670","Business Compliance Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Nat)","50850","59670","Change Manager","10.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Nat)","50850","59670","Courts Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Admin (Nat)","50850","59670","Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Legal (Lon)","54760","65050","Business Compliance Manager","2.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Legal (Lon)","54760","65050","Courts Advisor","0.70","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Legal (Lon)","54760","65050","Legal Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Legal (Nat)","50850","59670","Courts Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level D Legal (Nat)","50850","59670","Legal Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level E Admin (Lon)","69680","79410","Unit Head","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level E Admin (Nat)","67000","77290","Unit Head","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Level E Legal (Nat)","67000","77290","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Principal Crown Advocate (CCD)","99790","120760","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-025","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","4.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-045","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-045","Legal Manager 2 (National)","67320","77300","Unit Head","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-045","Level E Legal (Lon)","69680","79410","Senior Policy Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-045","Specialist Prosecutor (Lon)","61360","71300","Legal Advisor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ OPERATIONS","CPS-S-045","Specialist Prosecutor (Nat)","56890","66990","Legal Advisor","0.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ PRIVATE OFFICE","CPS-S-001","Level B1 (Lon)","26970","30110","Senior Personal Assistant","3.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ PRIVATE OFFICE","CPS-S-001","Level B2 (Lon)","31560","35020","Private Secretary","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ PRIVATE OFFICE","CPS-S-001","Level B3 (Lon)","39750","45530","Governance and Reporting Officer","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ PRIVATE OFFICE","CPS-S-001","Level B3 (Lon)","39750","45530","Private Secretary","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ PRIVATE OFFICE","CPS-S-001","Level E Admin (Lon)","69680","79410","Principal Private Secretary","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level A2 (Lon)","20120","23520","Administrative Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level A2 Apprentice (Lon)","20120","23520","Administrative Assistant","3.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level A2 Apprentice (Lon)","20120","23520","Administrative Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Lon)","26970","30110","Business Support Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Lon)","26970","30110","Executive Officer","1.78","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Lon)","26970","30110","Information Management Advisor","4.39","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Nat)","25480","28430","Administrative Manager","0.76","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Nat)","25480","28430","Case Progression Manager","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Nat)","25480","28430","Caseworker","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Nat)","25480","28430","Executive Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Nat)","25480","28430","Information Management Advisor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 (Nat)","25480","28430","Paralegal Officer","2.61","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 Paralegal Off (Nat)","25480","28430","Administrative Manager","1.81","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","2.62","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B2 (Lon)","31560","35020","Higher Executive Officer","4.83","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B2 (Lon)","31560","35020","Senior Operational Business Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B2 (Nat)","30130","33310","Higher Executive Officer","5.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B3 (Lon)","39750","45530","Business Continuity and Disaster Recovery Manager","1.80","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B3 (Lon)","39750","45530","Deputy Head of Division","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Information Management Advisor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Information Management Advisor","4.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ SECURITY AND INFO ASSURANCE","CPS-S-025","Level D Admin (Lon)","54760","65050","Head of Unit","2.00","Operational Delivery"
